Time Stamp,Time Zone,Name,PTID,Load
2020-10-21 11:00:00,EDT,HUD VL,61758,988.6119
2020-10-21 11:00:00,EDT,GENESE,61753,1143.6089
2020-10-21 11:00:00,EDT,DUNWOD,61760,637.0405
2020-10-21 11:00:00,EDT,CENTRL,61754,1740.8972
2020-10-21 11:00:00,EDT,LONGIL,61762,2176.9392
2020-10-21 12:00:00,EDT,CENTRL,61754,1706.7622
2020-10-21 12:00:00,EDT,WEST,61752,1690.4431
2020-10-21 12:00:00,EDT,NORTH,61755,561.8478
2020-10-21 12:00:00,EDT,N.Y.C.,61761,5646.9478
2020-10-21 12:00:00,EDT,MILLWD,61759,348.2641
2020-10-21 12:00:00,EDT,MHK VL,61756,885.0617
2020-10-21 12:00:00,EDT,LONGIL,61762,2129.9426
2020-10-21 12:00:00,EDT,HUD VL,61758,993.7718
2020-10-21 12:00:00,EDT,GENESE,61753,1165.2214
2020-10-21 12:00:00,EDT,DUNWOD,61760,638.2116
2020-10-21 12:00:00,EDT,CAPITL,61757,1295.7996
2020-10-21 13:00:00,EDT,MHK VL,61756,859.1191
2020-10-21 13:00:00,EDT,CENTRL,61754,1733.6672
2020-10-21 13:00:00,EDT,WEST,61752,1700.94
2020-10-21 13:00:00,EDT,NORTH,61755,563.0809
2020-10-21 13:00:00,EDT,N.Y.C.,61761,5712.2695
2020-10-21 13:00:00,EDT,MILLWD,61759,367.7568
2020-10-21 13:00:00,EDT,CAPITL,61757,1266.4615
2020-10-21 13:00:00,EDT,HUD VL,61758,984.1909
2020-10-21 13:00:00,EDT,GENESE,61753,1192.5786
2020-10-21 13:00:00,EDT,DUNWOD,61760,642.5316
2020-10-21 13:00:00,EDT,LONGIL,61762,2086.4429
2020-10-21 14:00:00,EDT,WEST,61752,1702.3539
2020-10-21 14:00:00,EDT,GENESE,61753,1189.0732
2020-10-21 14:00:00,EDT,HUD VL,61758,962.5374
2020-10-21 14:00:00,EDT,LONGIL,61762,2159.3638
2020-10-21 14:00:00,EDT,MHK VL,61756,874.2888
2020-10-21 14:00:00,EDT,MILLWD,61759,357.9087
2020-10-21 14:00:00,EDT,N.Y.C.,61761,5736.2637
2020-10-21 14:00:00,EDT,NORTH,61755,548.4152
2020-10-21 14:00:00,EDT,DUNWOD,61760,644.2155
2020-10-21 14:00:00,EDT,CAPITL,61757,1236.4518
2020-10-21 14:00:00,EDT,CENTRL,61754,1745.1434
2020-10-21 15:00:00,EDT,DUNWOD,61760,634.5623
2020-10-21 15:00:00,EDT,GENESE,61753,1174.6338
2020-10-21 15:00:00,EDT,LONGIL,61762,2224.295
2020-10-21 15:00:00,EDT,MHK VL,61756,873.4806
2020-10-21 15:00:00,EDT,MILLWD,61759,349.9228
2020-10-21 15:00:00,EDT,N.Y.C.,61761,5727.548
2020-10-21 15:00:00,EDT,NORTH,61755,549.2278
2020-10-21 15:00:00,EDT,WEST,61752,1660.8025
2020-10-21 15:00:00,EDT,CAPITL,61757,1306.0583
2020-10-21 15:00:00,EDT,HUD VL,61758,991.9102
2020-10-21 15:00:00,EDT,CENTRL,61754,1755.634
2020-10-21 16:00:00,EDT,MHK VL,61756,890.1659
2020-10-21 16:00:00,EDT,DUNWOD,61760,644.1673
